snomed_id,name,display_name,synonyms,level_concept,type_concept,type_information,active
1186,,Foreign body sensation in the nose,,,Finding,SelfHistory,
118600007,Malignant lymphoma,Lymphoma,"['Malignant lymphoma (disorder)', 'Malignant lymphoma', 'Lymphoma']",granular,Disorder,SelfHistory,
11865041000119102,Injury of right lower limb,Injury of right lower limb (disorder),"['Injury of right lower limb (disorder)', 'Injury of right leg', 'Injury of right lower extremity', 'Injury of right lower limb']",granular,Disorder,SelfHistory,
118651000119105,Family history of Hashimoto thyroiditis,Family history of Hashimoto thyroiditis,"['Family history of Hashimoto thyroiditis (situation)', 'Family history of Hashimoto thyroiditis']",granular,Situation,FamilyHistory,
118749007,Procedure on hip joint,Hip procedure,"['Procedure on hip joint', 'Procedure on hip joint (procedure)']",group,Procedure,SelfHistory,
118766009,Procedure on thyroid gland,Procedure on thyroid gland,"['Procedure on thyroid gland', 'Procedure on thyroid gland (procedure)']",group,Procedure,SelfHistory,
118794001,Procedure on lung,lung procedure,"['Procedure on lung', 'Procedure on lung (procedure)', 'Lung procedure']",group,Procedure,SelfHistory,
118814005,Procedure on mouth,Oral or Dental procedures,"['Procedure on mouth', 'Procedure on mouth (procedure)']",group,Procedure,SelfHistory,
118822003,Procedure on liver,Liver Procedure,"['Procedure on liver', 'Procedure on liver (procedure)']",group,Procedure,SelfHistory,
118831003,Procedure on intestine,Procedure on intestine,"['Procedure on intestine', 'Procedure on intestine (procedure)']",group,Procedure,SelfHistory,
118870009,Procedure on ovary,Procedure on ovary,"['Procedure on ovary', 'Procedure on ovary (procedure)']",group,Procedure,SelfHistory,
118877007,Procedure on prostate,Prostate Surgery,"['Procedure on prostate', 'Procedure on prostate (procedure)']",group,Procedure,SelfHistory,
118938008,Disorder of mouth,Oral or Dental problems,"['Disease of mouth', 'Mouth disorder', 'Disorder of oral cavity', 'Disorder of mouth (disorder)', 'Disorder of mouth']",group,Disorder,SelfHistory,
